PhysicalX(mm),PhysicalY(mm),Amplitude(dBm)
295.993,-40.334,-82.258
300.401,-40.334,-81.935
304.810,-40.334,-82.496
309.219,-40.334,-82.972
313.627,-40.334,-83.310
318.036,-40.334,-83.308
322.445,-40.334,-81.180
326.853,-40.334,-81.651
331.262,-40.334,-82.535
335.671,-40.334,-82.693
295.993,-35.338,-82.714
300.401,-35.338,-82.442
304.810,-35.338,-81.194
309.219,-35.338,-81.961
313.627,-35.338,-82.575
318.036,-35.338,-80.722
322.445,-35.338,-81.001
326.853,-35.338,-81.231
331.262,-35.338,-81.492
335.671,-35.338,-81.957
295.993,-30.343,-83.543
300.401,-30.343,-82.731
304.810,-30.343,-82.928
309.219,-30.343,-81.488
313.627,-30.343,-82.250
318.036,-30.343,-81.461
322.445,-30.343,-81.568
326.853,-30.343,-81.153
331.262,-30.343,-82.586
335.671,-30.343,-80.206
295.993,-25.347,-83.215
300.401,-25.347,-81.701
304.810,-25.347,-81.999
309.219,-25.347,-82.324
313.627,-25.347,-83.456
318.036,-25.347,-82.799
322.445,-25.347,-82.916
326.853,-25.347,-83.059
331.262,-25.347,-82.887
335.671,-25.347,-82.320
295.993,-20.352,-83.270
300.401,-20.352,-82.420
304.810,-20.352,-82.023
309.219,-20.352,-81.720
313.627,-20.352,-81.631
318.036,-20.352,-81.443
322.445,-20.352,-82.535
326.853,-20.352,-81.538
331.262,-20.352,-83.079
335.671,-20.352,-82.819
295.993,-15.356,-80.695
300.401,-15.356,-82.450
304.810,-15.356,-82.329
309.219,-15.356,-82.907
313.627,-15.356,-82.134
318.036,-15.356,-82.785
322.445,-15.356,-81.512
326.853,-15.356,-84.216
331.262,-15.356,-82.338
335.671,-15.356,-82.619
295.993,-10.361,-82.815
300.401,-10.361,-83.604
304.810,-10.361,-83.043
309.219,-10.361,-82.218
313.627,-10.361,-82.686
318.036,-10.361,-82.406
322.445,-10.361,-82.904
326.853,-10.361,-82.387
331.262,-10.361,-82.631
335.671,-10.361,-81.670
295.993,-5.365,-82.441
300.401,-5.365,-82.635
304.810,-5.365,-81.219
309.219,-5.365,-82.365
313.627,-5.365,-84.006
318.036,-5.365,-81.905
322.445,-5.365,-81.569
326.853,-5.365,-81.947
331.262,-5.365,-81.795
335.671,-5.365,-82.658
295.993,-0.370,-81.195
300.401,-0.370,-81.200
304.810,-0.370,-81.966
309.219,-0.370,-81.709
313.627,-0.370,-82.367
318.036,-0.370,-82.079
322.445,-0.370,-80.957
326.853,-0.370,-81.870
331.262,-0.370,-81.669
335.671,-0.370,-82.773
295.993,4.626,-81.721
300.401,4.626,-80.739
304.810,4.626,-81.429
309.219,4.626,-82.901
313.627,4.626,-82.984
318.036,4.626,-81.947
322.445,4.626,-80.696
326.853,4.626,-81.482
331.262,4.626,-82.793
335.671,4.626,-81.959
