PhysicalX(mm),PhysicalY(mm),P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100
311.352,-57.981,-88.952,-92.273,-87.039,-86.583,-89.289,-91.721,-90.736,-88.110,-90.575,-89.467,-89.279,-92.082,-93.868,-93.836,-85.856,-83.759,-83.758,-88.269,-93.487,-89.204,-88.415,-97.570,-92.696,-92.688,-89.449,-85.395,-89.620,-88.511,-93.766,-88.837,-90.995,-93.393,-89.278,-89.132,-88.951,-91.634,-93.980,-89.445,-86.542,-87.474,-92.401,-92.059,-86.876,-88.121,-86.721,-90.131,-88.851,-85.857,-88.972,-90.455,-87.669,-89.105,-90.991,-91.490,-89.707,-85.488,-85.622,-84.803,-93.898,-92.328,-87.783,-89.521,-90.248,-85.879,-89.717,-86.264,-90.826,-87.072,-86.429,-87.273,-87.568,-89.042,-90.081,-88.267,-88.604,-88.806,-86.262,-91.103,-88.543,-87.979,-88.276,-86.918,-90.299,-89.303,-91.418,-85.770,-89.179,-86.769,-88.926,-91.547,-91.641,-85.526,-90.439,-90.444,-89.690,-90.340,-87.096,-87.784,-90.165,-85.149,-92.340
316.258,-57.981,-87.789,-85.982,-90.653,-86.417,-86.409,-86.683,-89.926,-86.509,-85.252,-90.491,-86.681,-92.371,-89.145,-84.483,-84.956,-90.253,-87.570,-91.360,-88.269,-88.987,-89.753,-85.040,-87.258,-89.507,-88.697,-88.046,-89.169,-88.086,-93.297,-93.780,-92.425,-86.515,-89.294,-90.838,-91.749,-88.423,-87.845,-87.075,-88.879,-88.994,-87.297,-88.369,-90.367,-89.230,-90.027,-88.974,-88.436,-85.417,-86.037,-89.770,-98.779,-89.531,-84.087,-84.585,-90.873,-88.968,-87.578,-93.068,-94.896,-92.993,-87.392,-89.209,-89.402,-88.134,-87.499,-90.157,-94.548,-91.004,-90.700,-87.395,-88.640,-84.464,-94.928,-97.854,-97.502,-89.062,-89.053,-86.935,-86.067,-87.879,-86.643,-85.061,-85.076,-91.703,-97.040,-92.872,-93.109,-88.813,-94.316,-90.820,-93.001,-90.023,-89.435,-87.398,-89.712,-89.436,-87.685,-90.043,-91.708,-89.230,-89.641
321.165,-57.981,-87.834,-87.839,-91.364,-90.186,-94.446,-90.464,-90.109,-94.398,-88.341,-87.957,-85.959,-86.673,-89.165,-93.867,-92.780,-90.639,-89.922,-90.752,-85.141,-88.239,-87.469,-93.862,-88.562,-87.574,-89.877,-90.314,-95.450,-89.941,-85.363,-88.511,-89.409,-91.442,-91.833,-89.354,-88.833,-90.101,-90.910,-89.553,-90.299,-82.038,-82.002,-88.696,-86.595,-88.816,-88.055,-87.406,-87.264,-91.554,-89.624,-87.365,-87.709,-87.707,-89.284,-89.248,-86.087,-90.421,-86.602,-94.591,-93.118,-90.359,-87.188,-91.074,-86.141,-89.120,-92.878,-88.759,-90.767,-95.317,-88.456,-87.984,-89.630,-94.416,-87.633,-88.932,-92.200,-85.644,-84.765,-91.724,-86.480,-89.142,-87.236,-85.820,-88.750,-85.228,-90.355,-85.971,-87.794,-89.018,-87.212,-87.210,-87.333,-85.142,-86.869,-88.770,-89.345,-84.955,-89.254,-92.041,-91.040,-89.713,-86.877
326.071,-57.981,-92.378,-88.059,-90.335,-88.893,-86.798,-91.827,-87.197,-87.579,-86.028,-85.913,-85.946,-87.904,-91.814,-83.156,-83.106,-86.734,-86.537,-89.714,-87.297,-88.701,-86.426,-85.518,-89.118,-91.640,-86.844,-88.723,-93.416,-87.884,-87.310,-90.111,-88.785,-91.075,-88.849,-89.917,-92.030,-93.869,-89.977,-88.580,-86.874,-87.878,-87.749,-90.522,-88.481,-87.659,-88.860,-87.883,-88.487,-92.752,-87.000,-86.400,-87.412,-86.843,-90.141,-89.087,-90.453,-87.773,-86.865,-84.621,-86.955,-90.956,-82.221,-82.192,-88.281,-87.385,-87.023,-88.409,-93.080,-86.015,-86.276,-88.249,-86.944,-87.640,-90.782,-88.834,-89.775,-87.850,-92.029,-96.112,-87.614,-85.277,-88.996,-92.370,-84.814,-92.479,-92.533,-91.331,-88.911,-86.410,-88.985,-95.399,-90.635,-84.380,-84.227,-92.513,-86.643,-86.616,-87.182,-89.314,-87.998,-90.587,-92.012
330.977,-57.981,-84.844,-91.671,-88.366,-91.958,-90.108,-90.922,-88.536,-88.042,-87.774,-88.362,-89.196,-86.275,-84.055,-87.803,-88.331,-85.870,-86.286,-88.379,-88.116,-89.519,-94.749,-87.700,-89.142,-88.620,-85.206,-85.702,-89.914,-89.150,-88.550,-93.265,-95.294,-87.226,-86.047,-88.536,-88.401,-88.421,-85.717,-85.908,-88.415,-90.625,-93.119,-94.093,-92.200,-91.573,-86.592,-84.923,-87.238,-87.055,-88.471,-89.425,-90.407,-86.249,-86.199,-90.347,-90.374,-86.539,-94.542,-91.017,-91.712,-91.199,-91.974,-88.330,-90.180,-90.015,-88.639,-87.500,-89.060,-89.480,-90.030,-87.280,-86.706,-90.564,-83.935,-83.690,-88.461,-88.025,-89.840,-85.834,-85.766,-92.907,-90.691,-92.323,-92.040,-91.188,-87.923,-87.745,-93.111,-84.602,-86.975,-91.726,-88.881,-83.019,-84.941,-91.055,-87.262,-87.602,-87.990,-88.865,-89.244,-90.345,-90.061
311.352,-54.725,-89.404,-86.723,-84.921,-84.616,-89.226,-89.612,-87.051,-90.128,-91.891,-89.880,-85.150,-86.485,-87.974,-86.627,-89.521,-89.173,-89.819,-91.750,-89.241,-88.446,-94.352,-85.721,-85.748,-89.076,-91.003,-89.457,-88.742,-89.114,-89.419,-88.718,-88.540,-90.227,-87.475,-89.979,-86.114,-94.597,-85.001,-87.256,-87.810,-90.331,-95.613,-90.665,-94.126,-86.335,-86.677,-89.234,-86.484,-86.291,-86.768,-86.363,-86.756,-86.759,-88.909,-87.424,-93.021,-85.946,-93.250,-86.923,-91.463,-90.397,-88.905,-89.652,-89.436,-88.733,-88.712,-92.793,-91.201,-87.867,-89.711,-90.293,-91.203,-89.092,-90.365,-93.737,-83.712,-93.733,-85.886,-85.794,-88.789,-84.591,-87.733,-89.638,-88.345,-88.251,-88.791,-89.011,-90.438,-84.977,-85.097,-85.857,-86.837,-86.919,-90.078,-86.843,-90.987,-95.359,-89.518,-88.340,-91.162,-90.651,-87.553
316.258,-54.725,-88.346,-92.903,-90.885,-89.176,-85.697,-87.999,-87.999,-89.026,-85.044,-89.070,-92.391,-90.714,-90.356,-90.356,-88.017,-88.717,-90.919,-93.571,-91.405,-86.494,-86.198,-84.238,-83.141,-83.804,-89.559,-90.000,-93.702,-89.770,-86.568,-92.408,-89.124,-88.462,-85.360,-86.218,-86.219,-92.867,-90.980,-91.854,-89.330,-85.857,-82.200,-85.445,-96.065,-90.080,-88.830,-93.829,-86.164,-87.215,-85.823,-87.583,-86.920,-96.542,-90.267,-88.814,-87.386,-87.455,-87.513,-87.574,-85.206,-88.606,-89.182,-86.147,-86.661,-85.092,-85.676,-92.881,-91.317,-94.632,-90.648,-85.883,-88.982,-89.881,-92.504,-86.161,-87.429,-93.910,-90.403,-90.233,-88.435,-90.865,-88.770,-88.287,-86.013,-86.269,-88.448,-89.104,-89.189,-88.785,-88.537,-87.446,-88.007,-87.507,-88.234,-90.634,-89.504,-85.878,-95.993,-91.473,-89.639,-84.829,-87.818
321.165,-54.725,-87.930,-92.568,-88.127,-88.587,-88.047,-92.244,-93.763,-89.889,-90.353,-89.965,-90.746,-91.143,-90.670,-88.692,-86.482,-88.514,-87.119,-93.265,-87.651,-86.505,-87.073,-87.866,-88.961,-89.949,-87.864,-84.121,-89.982,-89.833,-92.571,-86.509,-87.035,-87.905,-89.190,-85.301,-87.266,-83.542,-83.924,-89.641,-90.473,-86.815,-86.230,-87.129,-88.774,-90.026,-89.046,-88.079,-86.462,-86.943,-89.886,-88.477,-88.577,-85.844,-92.442,-91.938,-90.755,-84.945,-87.705,-89.990,-89.953,-92.647,-88.441,-90.256,-87.631,-87.331,-87.338,-86.674,-89.000,-85.248,-85.089,-88.900,-91.919,-92.934,-88.506,-92.908,-92.876,-93.972,-90.501,-85.984,-91.190,-87.715,-88.796,-87.904,-84.822,-88.942,-91.527,-88.830,-84.513,-89.901,-86.414,-84.482,-84.460,-88.445,-87.383,-86.720,-86.570,-93.245,-93.003,-92.996,-89.731,-91.399,-86.156
326.071,-54.725,-85.002,-88.559,-89.777,-90.134,-90.828,-86.688,-92.188,-92.246,-89.253,-90.093,-87.840,-87.828,-95.458,-91.867,-91.363,-82.237,-87.543,-87.759,-89.302,-86.169,-85.243,-93.712,-88.613,-88.898,-87.152,-84.618,-88.273,-91.083,-88.366,-86.373,-86.061,-88.228,-90.282,-95.167,-89.665,-85.490,-86.038,-86.010,-90.890,-93.002,-91.278,-91.025,-90.966,-87.581,-87.923,-86.095,-87.475,-88.006,-91.376,-89.122,-91.778,-99.788,-89.379,-89.005,-90.407,-88.844,-90.783,-90.599,-90.683,-90.844,-89.124,-93.841,-87.773,-89.417,-90.960,-86.193,-86.343,-87.820,-87.704,-92.208,-85.055,-90.045,-87.709,-87.199,-87.542,-87.285,-87.159,-84.038,-83.537,-91.121,-88.793,-90.495,-87.580,-89.979,-89.899,-88.208,-88.175,-87.173,-88.102,-88.286,-94.109,-94.861,-89.063,-86.930,-90.582,-97.038,-87.379,-86.337,-92.223,-92.113,-88.003
330.977,-54.725,-88.615,-95.428,-95.479,-91.710,-88.428,-86.781,-92.262,-88.249,-84.728,-88.955,-88.996,-89.984,-90.659,-91.793,-89.025,-90.381,-91.128,-87.481,-89.059,-91.475,-84.501,-85.976,-84.073,-88.488,-88.424,-91.064,-93.938,-91.829,-95.441,-92.438,-89.475,-90.224,-90.807,-90.305,-87.808,-90.745,-89.339,-86.158,-93.632,-85.277,-86.016,-87.861,-88.564,-87.756,-87.371,-87.821,-88.336,-86.627,-86.519,-89.652,-88.278,-89.740,-85.794,-87.440,-87.067,-85.553,-88.203,-90.124,-93.498,-93.358,-90.354,-88.990,-97.234,-91.475,-88.782,-91.464,-87.432,-88.926,-87.708,-85.944,-87.124,-86.959,-85.084,-89.366,-85.694,-85.097,-89.948,-91.183,-88.107,-86.598,-88.983,-88.902,-88.274,-87.896,-90.191,-84.906,-83.886,-88.598,-88.525,-88.859,-88.828,-88.954,-88.873,-83.289,-83.315,-85.982,-86.821,-87.253,-93.658,-88.267,-89.532
