PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
127.241,87.065,-88.763
173.780,87.065,-86.724
220.319,87.065,-89.481
266.858,87.065,-87.392
313.397,87.065,-87.393
127.241,100.968,-84.872
173.780,100.968,-86.560
220.319,100.968,-90.601
266.858,100.968,-93.268
313.397,100.968,-91.028
127.241,114.871,-89.789
173.780,114.871,-82.885
220.319,114.871,-91.819
266.858,114.871,-85.188
313.397,114.871,-83.382
127.241,128.774,-90.587
173.780,128.774,-86.077
220.319,128.774,-84.852
266.858,128.774,-88.419
313.397,128.774,-91.348
127.241,142.678,-91.756
173.780,142.678,-91.463
220.319,142.678,-94.801
266.858,142.678,-85.839
313.397,142.678,-93.420
